citizenship,geo,unemployment_rate,quarter,Sex,date
Total,Ireland,11.6,2014-Q4,Males,2014-10-01
Total,Ireland,11.7,2015-Q1,Males,2015-01-01
Total,Ireland,11.3,2015-Q2,Males,2015-04-01
Total,Ireland,10.8,2015-Q3,Males,2015-07-01
Total,Ireland,10.4,2015-Q4,Males,2015-10-01
Total,Ireland,10.1,2016-Q1,Males,2016-01-01
Total,Ireland,10.0,2016-Q2,Males,2016-04-01
Total,Ireland,9.3,2016-Q3,Males,2016-07-01
Total,Ireland,7.8,2016-Q4,Males,2016-10-01
Total,Ireland,7.5,2017-Q1,Males,2017-01-01
Total,Ireland,7.7,2017-Q2,Males,2017-04-01
Total,Ireland,7.3,2017-Q3,Males,2017-07-01
Total,Ireland,6.7,2017-Q4,Males,2017-10-01
Total,Ireland,6.0,2018-Q1,Males,2018-01-01
Total,Ireland,6.4,2018-Q2,Males,2018-04-01
Total,Ireland,6.0,2018-Q3,Males,2018-07-01
Total,Ireland,5.5,2018-Q4,Males,2018-10-01
Total,Ireland,5.2,2019-Q1,Males,2019-01-01
Total,Ireland,5.7,2019-Q2,Males,2019-04-01
Total,Ireland,5.6,2019-Q3,Males,2019-07-01
Total,Ireland,4.8,2019-Q4,Males,2019-10-01
Total,Ireland,4.9,2020-Q1,Males,2020-01-01
Total,Ireland,5.3,2020-Q2,Males,2020-04-01
Total,Ireland,6.9,2020-Q3,Males,2020-07-01
Total,Ireland,6.1,2020-Q4,Males,2020-10-01
Total,Ireland,7.4,2021-Q1,Males,2021-01-01
Total,Ireland,7.6,2021-Q2,Males,2021-04-01
Total,Ireland,5.9,2021-Q3,Males,2021-07-01
Total,Ireland,5.1,2021-Q4,Males,2021-10-01
Total,Ireland,5.0,2022-Q1,Males,2022-01-01
Total,Ireland,4.5,2022-Q2,Males,2022-04-01
Total,Ireland,4.3,2022-Q3,Males,2022-07-01
Total,Ireland,4.1,2022-Q4,Males,2022-10-01
Total,Ireland,4.4,2023-Q1,Males,2023-01-01
Total,Ireland,4.7,2023-Q2,Males,2023-04-01
Total,Ireland,4.8,2023-Q3,Males,2023-07-01
Total,Ireland,4.2,2023-Q4,Males,2023-10-01
Total,Ireland,4.1,2024-Q1,Males,2024-01-01
Total,Ireland,4.8,2024-Q2,Males,2024-04-01
Total,Ireland,4.4,2024-Q3,Males,2024-07-01
Total,Ireland,4.5,2024-Q4,Males,2024-10-01
Total,Ireland,7.8,1998-Q2,Total,1998-04-01
Total,Ireland,5.9,1999-Q2,Total,1999-04-01
Total,Ireland,5.9,1999-Q3,Total,1999-07-01
Total,Ireland,5.2,1999-Q4,Total,1999-10-01
Total,Ireland,4.8,2000-Q1,Total,2000-01-01
Total,Ireland,4.4,2000-Q2,Total,2000-04-01
Total,Ireland,4.4,2000-Q3,Total,2000-07-01
Total,Ireland,4.0,2000-Q4,Total,2000-10-01
Total,Ireland,3.8,2001-Q1,Total,2001-01-01
Total,Ireland,3.7,2001-Q2,Total,2001-04-01
Total,Ireland,4.4,2001-Q3,Total,2001-07-01
Total,Ireland,4.0,2001-Q4,Total,2001-10-01
Total,Ireland,4.4,2002-Q1,Total,2002-01-01
Total,Ireland,4.3,2002-Q2,Total,2002-04-01
Total,Ireland,4.7,2002-Q3,Total,2002-07-01
Total,Ireland,4.7,2002-Q4,Total,2002-10-01
Total,Ireland,4.7,2003-Q1,Total,2003-01-01
Total,Ireland,4.6,2003-Q2,Total,2003-04-01
Total,Ireland,5.3,2003-Q3,Total,2003-07-01
Total,Ireland,4.7,2003-Q4,Total,2003-10-01
Total,Ireland,4.5,2004-Q1,Total,2004-01-01
Total,Ireland,4.6,2004-Q2,Total,2004-04-01
Total,Ireland,4.9,2004-Q3,Total,2004-07-01
Total,Ireland,4.5,2004-Q4,Total,2004-10-01
Total,Ireland,4.2,2005-Q1,Total,2005-01-01
Total,Ireland,4.3,2005-Q2,Total,2005-04-01
Total,Ireland,4.7,2005-Q3,Total,2005-07-01
Total,Ireland,4.5,2005-Q4,Total,2005-10-01
Total,Ireland,4.3,2006-Q1,Total,2006-01-01
Total,Ireland,4.4,2006-Q2,Total,2006-04-01
Total,Ireland,5.0,2006-Q3,Total,2006-07-01
Total,Ireland,4.3,2006-Q4,Total,2006-10-01
Total,Ireland,4.9,2007-Q1,Total,2007-01-01
Total,Ireland,5.2,2007-Q2,Total,2007-04-01
Total,Ireland,5.1,2007-Q3,Total,2007-07-01
Total,Ireland,5.0,2007-Q4,Total,2007-10-01
Total,Ireland,5.4,2008-Q1,Total,2008-01-01
Total,Ireland,6.2,2008-Q2,Total,2008-04-01
Total,Ireland,7.7,2008-Q3,Total,2008-07-01
Total,Ireland,8.3,2008-Q4,Total,2008-10-01
Total,Ireland,10.9,2009-Q1,Total,2009-01-01
Total,Ireland,13.1,2009-Q2,Total,2009-04-01
Total,Ireland,13.8,2009-Q3,Total,2009-07-01
Total,Ireland,13.5,2009-Q4,Total,2009-10-01
Total,Ireland,13.9,2010-Q1,Total,2010-01-01
Total,Ireland,14.9,2010-Q2,Total,2010-04-01
Total,Ireland,15.1,2010-Q3,Total,2010-07-01
Total,Ireland,15.3,2010-Q4,Total,2010-10-01
Total,Ireland,15.3,2011-Q1,Total,2011-01-01
Total,Ireland,15.6,2011-Q2,Total,2011-04-01
Total,Ireland,16.2,2011-Q3,Total,2011-07-01
Total,Ireland,15.6,2011-Q4,Total,2011-10-01
Total,Ireland,16.1,2012-Q1,Total,2012-01-01
Total,Ireland,16.1,2012-Q2,Total,2012-04-01
Total,Ireland,16.1,2012-Q3,Total,2012-07-01
Total,Ireland,14.7,2012-Q4,Total,2012-10-01
Total,Ireland,14.6,2013-Q1,Total,2013-01-01
Total,Ireland,14.9,2013-Q2,Total,2013-04-01
Total,Ireland,13.9,2013-Q3,Total,2013-07-01
Total,Ireland,12.6,2013-Q4,Total,2013-10-01
Total,Ireland,12.9,2014-Q1,Total,2014-01-01
Total,Ireland,12.7,2014-Q2,Total,2014-04-01
Total,Ireland,12.2,2014-Q3,Total,2014-07-01
Total,Ireland,10.6,2014-Q4,Total,2014-10-01
Total,Ireland,10.7,2015-Q1,Total,2015-01-01
Total,Ireland,10.6,2015-Q2,Total,2015-04-01
Total,Ireland,10.1,2015-Q3,Total,2015-07-01
Total,Ireland,9.2,2015-Q4,Total,2015-10-01
Total,Ireland,9.0,2016-Q1,Total,2016-01-01
Total,Ireland,9.3,2016-Q2,Total,2016-04-01
Total,Ireland,8.7,2016-Q3,Total,2016-07-01
Total,Ireland,7.4,2016-Q4,Total,2016-10-01
Total,Ireland,7.2,2017-Q1,Total,2017-01-01
Total,Ireland,7.0,2017-Q2,Total,2017-04-01
Total,Ireland,7.1,2017-Q3,Total,2017-07-01
Total,Ireland,6.2,2017-Q4,Total,2017-10-01
Total,Ireland,5.8,2018-Q1,Total,2018-01-01
Total,Ireland,6.2,2018-Q2,Total,2018-04-01
Total,Ireland,6.1,2018-Q3,Total,2018-07-01
Total,Ireland,5.5,2018-Q4,Total,2018-10-01
Total,Ireland,4.9,2019-Q1,Total,2019-01-01
Total,Ireland,5.5,2019-Q2,Total,2019-04-01
Total,Ireland,5.4,2019-Q3,Total,2019-07-01
Total,Ireland,4.6,2019-Q4,Total,2019-10-01
Total,Ireland,4.7,2020-Q1,Total,2020-01-01
Total,Ireland,5.2,2020-Q2,Total,2020-04-01
Total,Ireland,7.3,2020-Q3,Total,2020-07-01
Total,Ireland,5.9,2020-Q4,Total,2020-10-01
Total,Ireland,7.2,2021-Q1,Total,2021-01-01
Total,Ireland,7.4,2021-Q2,Total,2021-04-01
Total,Ireland,5.8,2021-Q3,Total,2021-07-01
Total,Ireland,5.0,2021-Q4,Total,2021-10-01
Total,Ireland,4.9,2022-Q1,Total,2022-01-01
Total,Ireland,4.6,2022-Q2,Total,2022-04-01
Total,Ireland,4.5,2022-Q3,Total,2022-07-01
Total,Ireland,4.2,2022-Q4,Total,2022-10-01
Total,Ireland,4.1,2023-Q1,Total,2023-01-01
Total,Ireland,4.5,2023-Q2,Total,2023-04-01
Total,Ireland,4.8,2023-Q3,Total,2023-07-01
Total,Ireland,4.3,2023-Q4,Total,2023-10-01
Total,Ireland,4.2,2024-Q1,Total,2024-01-01
Total,Ireland,4.7,2024-Q2,Total,2024-04-01
Total,Ireland,4.6,2024-Q3,Total,2024-07-01
Total,Ireland,4.2,2024-Q4,Total,2024-10-01
Foreign country,Italy,18.1,2005-Q1,Females,2005-01-01
Foreign country,Italy,16.4,2005-Q2,Females,2005-04-01
Foreign country,Italy,11.5,2005-Q3,Females,2005-07-01
Foreign country,Italy,15.5,2005-Q4,Females,2005-10-01
Foreign country,Italy,14.3,2006-Q1,Females,2006-01-01
Foreign country,Italy,13.0,2006-Q2,Females,2006-04-01
Foreign country,Italy,12.1,2006-Q3,Females,2006-07-01
Foreign country,Italy,14.2,2006-Q4,Females,2006-10-01
Foreign country,Italy,14.4,2007-Q1,Females,2007-01-01
Foreign country,Italy,11.7,2007-Q2,Females,2007-04-01
Foreign country,Italy,9.7,2007-Q3,Females,2007-07-01
Foreign country,Italy,13.9,2007-Q4,Females,2007-10-01
Foreign country,Italy,14.0,2008-Q1,Females,2008-01-01
Foreign country,Italy,12.9,2008-Q2,Females,2008-04-01
Foreign country,Italy,9.5,2008-Q3,Females,2008-07-01
Foreign country,Italy,11.3,2008-Q4,Females,2008-10-01
Foreign country,Italy,12.4,2009-Q1,Females,2009-01-01
Foreign country,Italy,13.3,2009-Q2,Females,2009-04-01
Foreign country,Italy,11.3,2009-Q3,Females,2009-07-01
Foreign country,Italy,15.1,2009-Q4,Females,2009-10-01
Foreign country,Italy,14.1,2010-Q1,Females,2010-01-01
Foreign country,Italy,12.7,2010-Q2,Females,2010-04-01
Foreign country,Italy,12.0,2010-Q3,Females,2010-07-01
Foreign country,Italy,13.4,2010-Q4,Females,2010-10-01
Foreign country,Italy,13.3,2011-Q1,Females,2011-01-01
Foreign country,Italy,14.0,2011-Q2,Females,2011-04-01
Foreign country,Italy,12.3,2011-Q3,Females,2011-07-01
Foreign country,Italy,17.8,2011-Q4,Females,2011-10-01
Foreign country,Italy,17.0,2012-Q1,Females,2012-01-01
Foreign country,Italy,15.5,2012-Q2,Females,2012-04-01
Foreign country,Italy,13.9,2012-Q3,Females,2012-07-01
Foreign country,Italy,16.2,2012-Q4,Females,2012-10-01
Foreign country,Italy,19.0,2013-Q1,Females,2013-01-01
Foreign country,Italy,18.2,2013-Q2,Females,2013-04-01
Foreign country,Italy,15.9,2013-Q3,Females,2013-07-01
Foreign country,Italy,19.3,2013-Q4,Females,2013-10-01
Foreign country,Italy,19.4,2014-Q1,Females,2014-01-01
Foreign country,Italy,16.0,2014-Q2,Females,2014-04-01
Foreign country,Italy,16.2,2014-Q3,Females,2014-07-01
Foreign country,Italy,19.7,2014-Q4,Females,2014-10-01
Foreign country,Italy,19.6,2015-Q1,Females,2015-01-01
Foreign country,Italy,17.4,2015-Q2,Females,2015-04-01
Foreign country,Italy,15.5,2015-Q3,Females,2015-07-01
Foreign country,Italy,18.2,2015-Q4,Females,2015-10-01
Foreign country,Italy,18.1,2016-Q1,Females,2016-01-01
Foreign country,Italy,17.5,2016-Q2,Females,2016-04-01
Foreign country,Italy,15.7,2016-Q3,Females,2016-07-01
Foreign country,Italy,18.3,2016-Q4,Females,2016-10-01
Foreign country,Italy,17.8,2017-Q1,Females,2017-01-01
Foreign country,Italy,16.6,2017-Q2,Females,2017-04-01
Foreign country,Italy,15.0,2017-Q3,Females,2017-07-01
Foreign country,Italy,17.0,2017-Q4,Females,2017-10-01
Foreign country,Italy,17.3,2018-Q1,Females,2018-01-01
Foreign country,Italy,16.3,2018-Q2,Females,2018-04-01
Foreign country,Italy,14.2,2018-Q3,Females,2018-07-01
Foreign country,Italy,18.5,2018-Q4,Females,2018-10-01
Foreign country,Italy,17.5,2019-Q1,Females,2019-01-01
Foreign country,Italy,17.2,2019-Q2,Females,2019-04-01
Foreign country,Italy,14.4,2019-Q3,Females,2019-07-01
Foreign country,Italy,16.9,2019-Q4,Females,2019-10-01
Foreign country,Italy,16.6,2020-Q1,Females,2020-01-01
Foreign country,Italy,12.7,2020-Q2,Females,2020-04-01
Foreign country,Italy,15.6,2020-Q3,Females,2020-07-01
Foreign country,Italy,17.3,2020-Q4,Females,2020-10-01
Foreign country,Italy,19.5,2021-Q1,Females,2021-01-01
Foreign country,Italy,18.8,2021-Q2,Females,2021-04-01
Foreign country,Italy,14.4,2021-Q3,Females,2021-07-01
Foreign country,Italy,18.1,2021-Q4,Females,2021-10-01
Foreign country,Italy,17.2,2022-Q1,Females,2022-01-01
Foreign country,Italy,15.3,2022-Q2,Females,2022-04-01
Foreign country,Italy,13.7,2022-Q3,Females,2022-07-01
Foreign country,Italy,15.3,2022-Q4,Females,2022-10-01
Foreign country,Italy,15.7,2023-Q1,Females,2023-01-01
Foreign country,Italy,14.4,2023-Q2,Females,2023-04-01
Foreign country,Italy,12.7,2023-Q3,Females,2023-07-01
Foreign country,Italy,14.0,2023-Q4,Females,2023-10-01
Foreign country,Italy,15.2,2024-Q1,Females,2024-01-01
Foreign country,Italy,11.9,2024-Q2,Females,2024-04-01
Foreign country,Italy,9.7,2024-Q3,Females,2024-07-01
Foreign country,Italy,12.0,2024-Q4,Females,2024-10-01
Foreign country,Italy,6.2,2005-Q1,Males,2005-01-01
Foreign country,Italy,6.5,2005-Q2,Males,2005-04-01
Foreign country,Italy,6.1,2005-Q3,Males,2005-07-01
Foreign country,Italy,8.6,2005-Q4,Males,2005-10-01
Foreign country,Italy,5.6,2006-Q1,Males,2006-01-01
Foreign country,Italy,5.4,2006-Q2,Males,2006-04-01
Foreign country,Italy,5.1,2006-Q3,Males,2006-07-01
Foreign country,Italy,5.2,2006-Q4,Males,2006-10-01
Foreign country,Italy,6.3,2007-Q1,Males,2007-01-01
Foreign country,Italy,4.4,2007-Q2,Males,2007-04-01
Foreign country,Italy,4.3,2007-Q3,Males,2007-07-01
Foreign country,Italy,6.3,2007-Q4,Males,2007-10-01
Foreign country,Italy,6.1,2008-Q1,Males,2008-01-01
Foreign country,Italy,6.1,2008-Q2,Males,2008-04-01
Foreign country,Italy,5.0,2008-Q3,Males,2008-07-01
Foreign country,Italy,6.8,2008-Q4,Males,2008-10-01
Foreign country,Italy,9.1,2009-Q1,Males,2009-01-01
Foreign country,Italy,9.4,2009-Q2,Males,2009-04-01
Foreign country,Italy,9.9,2009-Q3,Males,2009-07-01
Foreign country,Italy,10.9,2009-Q4,Males,2009-10-01
Foreign country,Italy,11.8,2010-Q1,Males,2010-01-01
Foreign country,Italy,10.5,2010-Q2,Males,2010-04-01
Foreign country,Italy,8.2,2010-Q3,Males,2010-07-01
Foreign country,Italy,11.3,2010-Q4,Males,2010-10-01
Foreign country,Italy,10.8,2011-Q1,Males,2011-01-01
Foreign country,Italy,8.6,2011-Q2,Males,2011-04-01
Foreign country,Italy,8.8,2011-Q3,Males,2011-07-01
Foreign country,Italy,12.6,2011-Q4,Males,2011-10-01
Foreign country,Italy,13.6,2012-Q1,Males,2012-01-01
Foreign country,Italy,12.0,2012-Q2,Males,2012-04-01
Foreign country,Italy,10.7,2012-Q3,Males,2012-07-01
Foreign country,Italy,14.8,2012-Q4,Males,2012-10-01
Foreign country,Italy,17.1,2013-Q1,Males,2013-01-01
Foreign country,Italy,17.5,2013-Q2,Males,2013-04-01
Foreign country,Italy,15.3,2013-Q3,Males,2013-07-01
Foreign country,Italy,16.5,2013-Q4,Males,2013-10-01
Foreign country,Italy,18.6,2014-Q1,Males,2014-01-01
Foreign country,Italy,16.3,2014-Q2,Males,2014-04-01
Foreign country,Italy,14.4,2014-Q3,Males,2014-07-01
Foreign country,Italy,15.6,2014-Q4,Males,2014-10-01
Foreign country,Italy,17.2,2015-Q1,Males,2015-01-01
Foreign country,Italy,15.3,2015-Q2,Males,2015-04-01
Foreign country,Italy,13.4,2015-Q3,Males,2015-07-01
Foreign country,Italy,14.6,2015-Q4,Males,2015-10-01
Foreign country,Italy,15.1,2016-Q1,Males,2016-01-01
Foreign country,Italy,13.0,2016-Q2,Males,2016-04-01
Foreign country,Italy,13.0,2016-Q3,Males,2016-07-01
Foreign country,Italy,14.2,2016-Q4,Males,2016-10-01
Foreign country,Italy,14.1,2017-Q1,Males,2017-01-01
Foreign country,Italy,13.1,2017-Q2,Males,2017-04-01
Foreign country,Italy,11.4,2017-Q3,Males,2017-07-01
Foreign country,Italy,12.0,2017-Q4,Males,2017-10-01
Foreign country,Italy,13.9,2018-Q1,Males,2018-01-01
Foreign country,Italy,11.9,2018-Q2,Males,2018-04-01
Foreign country,Italy,10.1,2018-Q3,Males,2018-07-01
Foreign country,Italy,12.0,2018-Q4,Males,2018-10-01
Foreign country,Italy,13.0,2019-Q1,Males,2019-01-01
Foreign country,Italy,12.0,2019-Q2,Males,2019-04-01
Foreign country,Italy,10.6,2019-Q3,Males,2019-07-01
Foreign country,Italy,11.4,2019-Q4,Males,2019-10-01
Foreign country,Italy,11.3,2020-Q1,Males,2020-01-01
Foreign country,Italy,8.4,2020-Q2,Males,2020-04-01
Foreign country,Italy,13.6,2020-Q3,Males,2020-07-01
Foreign country,Italy,12.4,2020-Q4,Males,2020-10-01
Foreign country,Italy,14.9,2021-Q1,Males,2021-01-01
Foreign country,Italy,12.6,2021-Q2,Males,2021-04-01
Foreign country,Italy,9.9,2021-Q3,Males,2021-07-01
Foreign country,Italy,11.4,2021-Q4,Males,2021-10-01
Foreign country,Italy,11.7,2022-Q1,Males,2022-01-01
Foreign country,Italy,9.4,2022-Q2,Males,2022-04-01
Foreign country,Italy,8.0,2022-Q3,Males,2022-07-01
Foreign country,Italy,9.0,2022-Q4,Males,2022-10-01
Foreign country,Italy,11.0,2023-Q1,Males,2023-01-01
Foreign country,Italy,9.5,2023-Q2,Males,2023-04-01
Foreign country,Italy,8.6,2023-Q3,Males,2023-07-01
Foreign country,Italy,8.6,2023-Q4,Males,2023-10-01
Foreign country,Italy,9.1,2024-Q1,Males,2024-01-01
Foreign country,Italy,9.0,2024-Q2,Males,2024-04-01
Foreign country,Italy,9.1,2024-Q3,Males,2024-07-01
Foreign country,Italy,7.9,2024-Q4,Males,2024-10-01
Foreign country,Italy,10.9,2005-Q1,Total,2005-01-01
Foreign country,Italy,10.4,2005-Q2,Total,2005-04-01
Foreign country,Italy,8.3,2005-Q3,Total,2005-07-01
Foreign country,Italy,11.6,2005-Q4,Total,2005-10-01
Foreign country,Italy,9.2,2006-Q1,Total,2006-01-01
Foreign country,Italy,8.5,2006-Q2,Total,2006-04-01
Foreign country,Italy,8.0,2006-Q3,Total,2006-07-01
Foreign country,Italy,8.9,2006-Q4,Total,2006-10-01
Foreign country,Italy,9.6,2007-Q1,Total,2007-01-01
Foreign country,Italy,7.5,2007-Q2,Total,2007-04-01
Foreign country,Italy,6.5,2007-Q3,Total,2007-07-01
Foreign country,Italy,9.5,2007-Q4,Total,2007-10-01
Foreign country,Italy,9.4,2008-Q1,Total,2008-01-01
Foreign country,Italy,9.0,2008-Q2,Total,2008-04-01
Foreign country,Italy,7.0,2008-Q3,Total,2008-07-01
Foreign country,Italy,8.7,2008-Q4,Total,2008-10-01
Foreign country,Italy,10.5,2009-Q1,Total,2009-01-01
Foreign country,Italy,11.1,2009-Q2,Total,2009-04-01
Foreign country,Italy,10.5,2009-Q3,Total,2009-07-01
Foreign country,Italy,12.7,2009-Q4,Total,2009-10-01
Foreign country,Italy,12.8,2010-Q1,Total,2010-01-01
Foreign country,Italy,11.5,2010-Q2,Total,2010-04-01
Foreign country,Italy,9.8,2010-Q3,Total,2010-07-01
Foreign country,Italy,12.2,2010-Q4,Total,2010-10-01
Foreign country,Italy,12.0,2011-Q1,Total,2011-01-01
Foreign country,Italy,11.0,2011-Q2,Total,2011-04-01
Foreign country,Italy,10.4,2011-Q3,Total,2011-07-01
Foreign country,Italy,14.9,2011-Q4,Total,2011-10-01
Foreign country,Italy,15.1,2012-Q1,Total,2012-01-01
Foreign country,Italy,13.6,2012-Q2,Total,2012-04-01
Foreign country,Italy,12.2,2012-Q3,Total,2012-07-01
Foreign country,Italy,15.5,2012-Q4,Total,2012-10-01
Foreign country,Italy,18.0,2013-Q1,Total,2013-01-01
Foreign country,Italy,17.8,2013-Q2,Total,2013-04-01
Foreign country,Italy,15.6,2013-Q3,Total,2013-07-01
Foreign country,Italy,17.8,2013-Q4,Total,2013-10-01
Foreign country,Italy,19.0,2014-Q1,Total,2014-01-01
Foreign country,Italy,16.1,2014-Q2,Total,2014-04-01
Foreign country,Italy,15.2,2014-Q3,Total,2014-07-01
Foreign country,Italy,17.5,2014-Q4,Total,2014-10-01
Foreign country,Italy,18.3,2015-Q1,Total,2015-01-01
Foreign country,Italy,16.3,2015-Q2,Total,2015-04-01
Foreign country,Italy,14.3,2015-Q3,Total,2015-07-01
Foreign country,Italy,16.3,2015-Q4,Total,2015-10-01
Foreign country,Italy,16.4,2016-Q1,Total,2016-01-01
Foreign country,Italy,15.0,2016-Q2,Total,2016-04-01
Foreign country,Italy,14.2,2016-Q3,Total,2016-07-01
Foreign country,Italy,16.1,2016-Q4,Total,2016-10-01
Foreign country,Italy,15.8,2017-Q1,Total,2017-01-01
Foreign country,Italy,14.7,2017-Q2,Total,2017-04-01
Foreign country,Italy,13.0,2017-Q3,Total,2017-07-01
Foreign country,Italy,14.2,2017-Q4,Total,2017-10-01
Foreign country,Italy,15.4,2018-Q1,Total,2018-01-01
Foreign country,Italy,13.9,2018-Q2,Total,2018-04-01
Foreign country,Italy,11.9,2018-Q3,Total,2018-07-01
Foreign country,Italy,15.0,2018-Q4,Total,2018-10-01
Foreign country,Italy,15.0,2019-Q1,Total,2019-01-01
Foreign country,Italy,14.3,2019-Q2,Total,2019-04-01
Foreign country,Italy,12.3,2019-Q3,Total,2019-07-01
Foreign country,Italy,13.8,2019-Q4,Total,2019-10-01
Foreign country,Italy,13.6,2020-Q1,Total,2020-01-01
Foreign country,Italy,10.2,2020-Q2,Total,2020-04-01
Foreign country,Italy,14.5,2020-Q3,Total,2020-07-01
Foreign country,Italy,14.5,2020-Q4,Total,2020-10-01
Foreign country,Italy,16.9,2021-Q1,Total,2021-01-01
Foreign country,Italy,15.3,2021-Q2,Total,2021-04-01
Foreign country,Italy,11.8,2021-Q3,Total,2021-07-01
Foreign country,Italy,14.2,2021-Q4,Total,2021-10-01
Foreign country,Italy,14.0,2022-Q1,Total,2022-01-01
Foreign country,Italy,11.9,2022-Q2,Total,2022-04-01
Foreign country,Italy,10.4,2022-Q3,Total,2022-07-01
Foreign country,Italy,11.7,2022-Q4,Total,2022-10-01
Foreign country,Italy,13.0,2023-Q1,Total,2023-01-01
Foreign country,Italy,11.6,2023-Q2,Total,2023-04-01
Foreign country,Italy,10.3,2023-Q3,Total,2023-07-01
Foreign country,Italy,10.9,2023-Q4,Total,2023-10-01
Foreign country,Italy,11.7,2024-Q1,Total,2024-01-01
Foreign country,Italy,10.2,2024-Q2,Total,2024-04-01
Foreign country,Italy,9.4,2024-Q3,Total,2024-07-01
Foreign country,Italy,9.6,2024-Q4,Total,2024-10-01
Reporting country,Italy,10.1,2005-Q1,Females,2005-01-01
Reporting country,Italy,9.3,2005-Q2,Females,2005-04-01
Reporting country,Italy,9.4,2005-Q3,Females,2005-07-01
Reporting country,Italy,10.4,2005-Q4,Females,2005-10-01
Reporting country,Italy,9.7,2006-Q1,Females,2006-01-01
Reporting country,Italy,8.2,2006-Q2,Females,2006-04-01
Reporting country,Italy,7.7,2006-Q3,Females,2006-07-01
Reporting country,Italy,8.5,2006-Q4,Females,2006-10-01
Reporting country,Italy,7.6,2007-Q1,Females,2007-01-01
Reporting country,Italy,7.1,2007-Q2,Females,2007-04-01
Reporting country,Italy,7.3,2007-Q3,Females,2007-07-01
Reporting country,Italy,8.2,2007-Q4,Females,2007-10-01
Reporting country,Italy,8.6,2008-Q1,Females,2008-01-01
Reporting country,Italy,8.4,2008-Q2,Females,2008-04-01
Reporting country,Italy,7.8,2008-Q3,Females,2008-07-01
Reporting country,Italy,8.3,2008-Q4,Females,2008-10-01
Reporting country,Italy,9.3,2009-Q1,Females,2009-01-01
Reporting country,Italy,8.4,2009-Q2,Females,2009-04-01
Reporting country,Italy,8.3,2009-Q3,Females,2009-07-01
Reporting country,Italy,9.7,2009-Q4,Females,2009-10-01
Reporting country,Italy,10.2,2010-Q1,Females,2010-01-01
Reporting country,Italy,9.1,2010-Q2,Females,2010-04-01
Reporting country,Italy,8.3,2010-Q3,Females,2010-07-01
Reporting country,Italy,9.6,2010-Q4,Females,2010-10-01
Reporting country,Italy,9.2,2011-Q1,Females,2011-01-01
Reporting country,Italy,8.4,2011-Q2,Females,2011-04-01
Reporting country,Italy,8.6,2011-Q3,Females,2011-07-01
Reporting country,Italy,10.0,2011-Q4,Females,2011-10-01
Reporting country,Italy,11.6,2012-Q1,Females,2012-01-01
Reporting country,Italy,11.0,2012-Q2,Females,2012-04-01
Reporting country,Italy,10.7,2012-Q3,Females,2012-07-01
Reporting country,Italy,12.4,2012-Q4,Females,2012-10-01
Reporting country,Italy,13.3,2013-Q1,Females,2013-01-01
Reporting country,Italy,12.1,2013-Q2,Females,2013-04-01
Reporting country,Italy,11.6,2013-Q3,Females,2013-07-01
Reporting country,Italy,13.1,2013-Q4,Females,2013-10-01
Reporting country,Italy,13.8,2014-Q1,Females,2014-01-01
Reporting country,Italy,13.1,2014-Q2,Females,2014-04-01
Reporting country,Italy,12.5,2014-Q3,Females,2014-07-01
Reporting country,Italy,14.2,2014-Q4,Females,2014-10-01
Reporting country,Italy,13.1,2015-Q1,Females,2015-01-01
Reporting country,Italy,12.3,2015-Q2,Females,2015-04-01
Reporting country,Italy,11.0,2015-Q3,Females,2015-07-01
Reporting country,Italy,12.2,2015-Q4,Females,2015-10-01
Reporting country,Italy,12.4,2016-Q1,Females,2016-01-01
Reporting country,Italy,12.3,2016-Q2,Females,2016-04-01
Reporting country,Italy,11.6,2016-Q3,Females,2016-07-01
Reporting country,Italy,12.9,2016-Q4,Females,2016-10-01
Reporting country,Italy,12.9,2017-Q1,Females,2017-01-01
Reporting country,Italy,11.6,2017-Q2,Females,2017-04-01
Reporting country,Italy,11.6,2017-Q3,Females,2017-07-01
Reporting country,Italy,11.9,2017-Q4,Females,2017-10-01
Reporting country,Italy,12.4,2018-Q1,Females,2018-01-01
Reporting country,Italy,11.3,2018-Q2,Females,2018-04-01
Reporting country,Italy,10.0,2018-Q3,Females,2018-07-01
Reporting country,Italy,11.3,2018-Q4,Females,2018-10-01
Reporting country,Italy,11.5,2019-Q1,Females,2019-01-01
Reporting country,Italy,10.0,2019-Q2,Females,2019-04-01
Reporting country,Italy,9.7,2019-Q3,Females,2019-07-01
Reporting country,Italy,10.9,2019-Q4,Females,2019-10-01
Reporting country,Italy,10.1,2020-Q1,Females,2020-01-01
Reporting country,Italy,8.1,2020-Q2,Females,2020-04-01
Reporting country,Italy,11.2,2020-Q3,Females,2020-07-01
Reporting country,Italy,9.9,2020-Q4,Females,2020-10-01
Reporting country,Italy,10.8,2021-Q1,Females,2021-01-01
Reporting country,Italy,10.1,2021-Q2,Females,2021-04-01
Reporting country,Italy,10.1,2021-Q3,Females,2021-07-01
Reporting country,Italy,8.9,2021-Q4,Females,2021-10-01
Reporting country,Italy,9.1,2022-Q1,Females,2022-01-01
Reporting country,Italy,8.7,2022-Q2,Females,2022-04-01
Reporting country,Italy,8.8,2022-Q3,Females,2022-07-01
Reporting country,Italy,8.4,2022-Q4,Females,2022-10-01
Reporting country,Italy,8.8,2023-Q1,Females,2023-01-01
Reporting country,Italy,7.9,2023-Q2,Females,2023-04-01
Reporting country,Italy,8.3,2023-Q3,Females,2023-07-01
