geo,year,population_15_64
Andorra,1986,32107.0
Andorra,1987,33856.0
Andorra,1988,34940.0
Andorra,1989,36624.0
Andorra,1990,36708.0
Andorra,1991,39706.0
Andorra,1992,43635.0
Andorra,1993,45559.0
Andorra,1994,48401.0
Andorra,1995,47589.0
Andorra,1996,46967.0
Andorra,1997,47283.0
Andorra,1998,47789.0
Andorra,1999,48114.0
Andorra,2000,47862.0
Andorra,2001,47507.0
Andorra,2002,47642.0
Andorra,2003,48089.0
Andorra,2004,52415.0
Andorra,2005,56289.0
Andorra,2006,57441.0
Andorra,2007,59595.0
Andorra,2008,61044.0
Andorra,2009,61902.0
Andorra,2010,61122.0
Andorra,2011,56163.0
Andorra,2012,56163.0
Andorra,2013,54801.0
Andorra,2019,55262.0
Albania,2002,1930245.0
Albania,2003,1936273.0
Albania,2004,1939914.0
Albania,2005,1944314.0
Albania,2006,1948463.0
Albania,2007,1953471.0
Albania,2008,1949528.0
Albania,2009,1945520.0
Albania,2010,1948063.0
Albania,2011,1959846.0
Albania,2012,1973908.0
Albania,2013,1979358.0
Albania,2014,1979307.0
Albania,2015,1977828.0
Albania,2016,1976078.0
Albania,2017,1976530.0
Albania,2018,1974207.0
Albania,2019,1965787.0
Albania,2020,1947069.0
Albania,2021,1930844.0
Albania,2022,1898279.0
Albania,2023,1864062.0
Armenia,2006,2208276.0
Armenia,2007,2238933.0
Armenia,2008,2268288.0
Armenia,2009,2298789.0
Armenia,2010,2326779.0
Armenia,2015,2104872.0
Armenia,2016,2081399.0
Armenia,2017,2054732.0
Armenia,2018,2028482.0
Armenia,2019,2012049.0
Armenia,2020,1995082.0
Armenia,2021,1991866.0
Armenia,2023,1981374.0
Armenia,2024,1921746.0
Austria,1960,4642716.0
Austria,1961,4622430.0
Austria,1962,4611787.0
Austria,1963,4618489.0
Austria,1964,4622103.0
Austria,1965,4615779.0
Austria,1966,4613427.0
Austria,1967,4613560.0
Austria,1968,4616615.0
Austria,1969,4600140.0
Austria,1970,4594919.0
Austria,1971,4598617.0
Austria,1972,4622269.0
Austria,1973,4656467.0
Austria,1974,4693834.0
Austria,1975,4691982.0
Austria,1976,4690242.0
Austria,1977,4722885.0
Austria,1978,4758172.0
Austria,1979,4784554.0
Austria,1980,4817144.0
Austria,1981,4873068.0
Austria,1982,4953496.0
Austria,1983,5001807.0
Austria,1984,5061135.0
Austria,1985,5099078.0
Austria,1986,5115660.0
Austria,1987,5126036.0
Austria,1988,5125992.0
Austria,1989,5132103.0
Austria,1990,5164673.0
Austria,1991,5206810.0
Austria,1992,5259697.0
Austria,1993,5308819.0
Austria,1994,5330229.0
Austria,1995,5329559.0
Austria,1996,5330428.0
Austria,1997,5341496.0
Austria,1998,5352997.0
Austria,1999,5369748.0
Austria,2000,5396769.0
Austria,2001,5423750.0
Austria,2002,5468650.0
Austria,2003,5510504.0
Austria,2004,5551836.0
Austria,2005,5570381.0
Austria,2006,5584114.0
Austria,2007,5589077.0
Austria,2008,5606753.0
Austria,2009,5624765.0
Austria,2010,5633091.0
Austria,2011,5663159.0
Austria,2012,5687630.0
Austria,2013,5705240.0
Austria,2014,5732284.0
Austria,2015,5774985.0
Austria,2016,5848657.0
Austria,2017,5883608.0
Austria,2018,5902273.0
Austria,2019,5911524.0
Austria,2020,5924377.0
Austria,2021,5930889.0
Austria,2022,5941650.0
Austria,2023,6009025.0
Austria,2024,6025781.0
Azerbaijan,2006,5770900.0
Azerbaijan,2007,5898100.0
Azerbaijan,2008,6027300.0
Azerbaijan,2009,6281600.0
Azerbaijan,2010,6431799.0
Azerbaijan,2011,6551059.0
Azerbaijan,2012,6651343.0
Azerbaijan,2013,6731228.0
Azerbaijan,2014,6804835.0
Azerbaijan,2015,6869552.0
Azerbaijan,2016,6921261.0
Azerbaijan,2017,6969695.0
Azerbaijan,2018,7015694.0
Azerbaijan,2019,7064107.0
Azerbaijan,2020,7090522.0
Azerbaijan,2021,7102141.0
Azerbaijan,2022,7105902.0
Azerbaijan,2023,7050724.0
Azerbaijan,2024,7089545.0
Belgium,1960,5902147.0
Belgium,1961,5905831.0
Belgium,1962,5876181.0
Belgium,1963,5905738.0
Belgium,1964,5947924.0
Belgium,1965,5995640.0
Belgium,1966,6022068.0
Belgium,1967,6038603.0
Belgium,1968,6058231.0
Belgium,1969,6071477.0
Belgium,1970,6088302.0
Belgium,1971,6080888.0
Belgium,1972,6116150.0
Belgium,1973,6148744.0
Belgium,1974,6182804.0
Belgium,1975,6234318.0
Belgium,1976,6283286.0
Belgium,1977,6326696.0
Belgium,1978,6370215.0
Belgium,1979,6401628.0
Belgium,1980,6446152.0
Belgium,1981,6495910.0
Belgium,1982,6506978.0
Belgium,1983,6563389.0
Belgium,1984,6609040.0
Belgium,1985,6644788.0
Belgium,1986,6648556.0
Belgium,1987,6652033.0
Belgium,1988,6655133.0
Belgium,1989,6676430.0
Belgium,1990,6672563.0
Belgium,1991,6675022.0
Belgium,1992,6674950.0
Belgium,1993,6688909.0
Belgium,1994,6698152.0
Belgium,1995,6707199.0
Belgium,1996,6700435.0
Belgium,1997,6705928.0
Belgium,1998,6706370.0
Belgium,1999,6711049.0
Belgium,2000,6719207.0
Belgium,2001,6728589.0
Belgium,2002,6758088.0
Belgium,2003,6790755.0
Belgium,2004,6818862.0
Belgium,2005,6851494.0
Belgium,2006,6906263.0
Belgium,2007,6976743.0
Belgium,2008,7046685.0
Belgium,2009,7101426.0
Belgium,2010,7147512.0
Belgium,2011,7250159.0
Belgium,2012,7270280.0
Belgium,2013,7286902.0
Belgium,2014,7286350.0
Belgium,2015,7295584.0
Belgium,2016,7326873.0
Belgium,2017,7328664.0
Belgium,2018,7333992.0
Belgium,2019,7350494.0
Belgium,2020,7375684.0
Belgium,2021,7389952.0
Belgium,2022,7416490.0
Belgium,2023,7493388.0
Belgium,2024,7535763.0
Bulgaria,1960,5198117.0
Bulgaria,1961,5253134.0
Bulgaria,1962,5315669.0
Bulgaria,1963,5374129.0
Bulgaria,1964,5437415.0
Bulgaria,1965,5505982.0
Bulgaria,1966,5556665.0
Bulgaria,1967,5603094.0
Bulgaria,1968,5647872.0
Bulgaria,1969,5690541.0
Bulgaria,1970,5723295.0
Bulgaria,1971,5751770.0
Bulgaria,1972,5776066.0
Bulgaria,1973,5794951.0
Bulgaria,1974,5817467.0
Bulgaria,1975,5838944.0
Bulgaria,1976,5826636.0
Bulgaria,1977,5847778.0
Bulgaria,1978,5849193.0
Bulgaria,1979,5850440.0
Bulgaria,1980,5846311.0
Bulgaria,1981,5850724.0
Bulgaria,1982,5891830.0
Bulgaria,1983,5942702.0
Bulgaria,1984,5992911.0
Bulgaria,1985,6014424.0
Bulgaria,1986,5994511.0
Bulgaria,1987,5992626.0
Bulgaria,1988,5981458.0
Bulgaria,1989,5982690.0
Bulgaria,1990,5830075.0
Bulgaria,1991,5764956.0
Bulgaria,1992,5722879.0
Bulgaria,1993,5661518.0
Bulgaria,1994,5652656.0
Bulgaria,1995,5647618.0
Bulgaria,1996,5630874.0
Bulgaria,1997,5624252.0
Bulgaria,1998,5601526.0
Bulgaria,1999,5584542.0
Bulgaria,2000,5565165.0
Bulgaria,2001,5551767.0
Bulgaria,2002,5358603.0
Bulgaria,2003,5336453.0
Bulgaria,2004,5317621.0
Bulgaria,2005,5297358.0
Bulgaria,2006,5270029.0
Bulgaria,2007,5235388.0
Bulgaria,2008,5193519.0
Bulgaria,2009,5147164.0
Bulgaria,2010,5097115.0
Bulgaria,2011,5033849.0
Bulgaria,2012,4966189.0
